"Prompt: 
You will see a series of words. Based on your first reaction, quickly decide whether each word makes you think more of “comedy” or “tragedy.” Write down your choice next to each word.

Please note:

Quick reaction: Don’t overthink it—rely on your first impression.
Concise response: Simply write the word and your choice. Do not add any extra content.

These words are:
",order-0,shuffle0-test0,"Prompt: 
You will see a series of words. Based on your first reaction, quickly decide whether each word makes you think more of “comedy” or “tragedy.” Write down your choice next to each word.

Please note:

Quick reaction: Don’t overthink it—rely on your first impression.
Concise response: Simply write the word and your choice. Do not add any extra content.

These words are:
.1",order-1,shuffle1-test0
1263. Connect,4682,COMEDY,1263. none,2380,TRAGEDY
1264. mysteries,4278,TRAGEDY,1264. economy,554,TRAGEDY
1265. Naruto,1507,COMEDY,1265. tongue,4232,COMEDY
1266. smoking,4490,TRAGEDY,1266. opponents,3420,TRAGEDY
1267. harassment,3308,TRAGEDY,1267. AIM,4565,COMEDY
1268. toppings,3995,COMEDY,1268. employer,4784,TRAGEDY
1269. falling,2868,COMEDY,1269. temple,4303,TRAGEDY
1270. plenty,1779,COMEDY,1270. films,1730,COMEDY
1271. streamline,4667,COMEDY,1271. suits,3183,COMEDY
1272. vegetation,4561,COMEDY,1272. Machine,3233,TRAGEDY
1273. courage,2281,TRAGEDY,1273. dynamics,1611,COMEDY
1274. factors,190,TRAGEDY,1274. promote,177,COMEDY
1275. beef,2484,COMEDY,1275. production,316,COMEDY
1276. scales,4616,TRAGEDY,1276. Google,728,COMEDY
1277. price,750,TRAGEDY,1277. measures,329,TRAGEDY
1278. timing,3643,COMEDY,1278. According,1065,TRAGEDY
1279. Year,3768,TRAGEDY,1279. chatbot,3194,COMEDY
1280. bus,3300,COMEDY,1280. represent,1858,TRAGEDY
1281. mechanisms,1517,COMEDY,1281. us,100,COMEDY
1282. yields,3655,COMEDY,1282. scheduling,4008,TRAGEDY
1283. criticism,2401,TRAGEDY,1283. Climate,2213,TRAGEDY
1284. keeping,1166,COMEDY,1284. logo,2151,COMEDY
1285. knowledge,246,COMEDY,1285. hide,3730,COMEDY
1286. conserve,4173,COMEDY,1286. burnout,4036,TRAGEDY
1287. Mode,2372,COMEDY,1287. mobility,2785,COMEDY
1288. stomach,3230,COMEDY,1288. derived,4878,TRAGEDY
1289. adaptation,3244,TRAGEDY,1289. change,71,COMEDY
1290. adversity,4145,TRAGEDY,1290. session,1512,COMEDY
1291. relies,4566,COMEDY,1291. size,325,COMEDY
1292. footprint,1411,TRAGEDY,1292. bank,2049,COMEDY
1293. phrases,2643,COMEDY,1293. movies,1521,COMEDY
1294. dining,2983,COMEDY,1294. mechanics,3316,COMEDY
1295. interact,1776,COMEDY,1295. registration,4342,TRAGEDY
1296. visuals,2451,COMEDY,1296. spirits,2825,COMEDY
1297. motion,2073,COMEDY,1297. electronics,4564,COMEDY
1298. photography,1653,TRAGEDY,1298. summer,1637,COMEDY
1299. enduring,4731,TRAGEDY,1299. Lisa,3862,COMEDY
1300. Policy,3958,TRAGEDY,1300. swimming,2959,COMEDY
1301. dedication,1805,TRAGEDY,1301. complexity,1249,TRAGEDY
1302. housing,1311,TRAGEDY,1302. escape,1616,COMEDY
1303. cars,1453,COMEDY,1303. rest,747,COMEDY
1304. wages,4500,TRAGEDY,1304. da,3401,COMEDY
1305. shown,694,COMEDY,1305. lens,1068,TRAGEDY
1306. influenced,751,TRAGEDY,1306. beginner,4816,COMEDY
1307. included,1016,COMEDY,1307. footprint,1411,TRAGEDY
1308. probability,3951,COMEDY,1308. ideal,4593,TRAGEDY
1309. mistake,3332,COMEDY,1309. bound,3814,TRAGEDY
1310. developed,671,TRAGEDY,1310. distractions,2862,COMEDY
1311. dynamics,1611,COMEDY,1311. Cut,2221,COMEDY
1312. dialogue,701,COMEDY,1312. specializes,4749,COMEDY
1313. cues,4328,COMEDY,1313. products,103,COMEDY
1314. sequence,1954,COMEDY,1314. flow,1238,COMEDY
1315. hip,4570,COMEDY,1315. revolutionize,4846,COMEDY
1316. preprogrammed,3565,TRAGEDY,1316. hesitate,2814,TRAGEDY
1317. politics,1652,TRAGEDY,1317. walks,2420,COMEDY
1318. appointment,4867,TRAGEDY,1318. constraints,2695,TRAGEDY
1319. morality,3577,TRAGEDY,1319. vintage,2530,COMEDY
1320. batteries,4026,COMEDY,1320. encouraging,1914,COMEDY
1321. damage,608,TRAGEDY,1321. laws,772,TRAGEDY
1322. affect,816,TRAGEDY,1322. got,553,COMEDY
1323. bear,3677,COMEDY,1323. order,346,COMEDY
1324. rays,4918,COMEDY,1324. pool,2321,COMEDY
1325. renewed,4557,COMEDY,1325. Blue,2930,TRAGEDY
1326. Friday,4331,COMEDY,1326. hurt,3056,TRAGEDY
1327. expression,627,COMEDY,1327. singing,4121,COMEDY
1328. warmth,2056,COMEDY,1328. Go,2285,COMEDY
1329. Smart,4955,COMEDY,1329. sacrifice,4140,TRAGEDY
1330. tensions,2877,TRAGEDY,1330. Australia,2258,COMEDY
1331. fund,2970,COMEDY,1331. instability,3470,TRAGEDY
1332. calm,1728,COMEDY,1332. Store,3784,COMEDY
1333. Yoga,4302,COMEDY,1333. become,170,COMEDY
1334. successes,4040,COMEDY,1334. experience,48,COMEDY
1335. prepared,1941,COMEDY,1335. type,224,COMEDY
1336. border,3310,TRAGEDY,1336. pay,1077,TRAGEDY
1337. rendering,4830,TRAGEDY,1337. Story,4996,COMEDY
1338. Harry,4709,COMEDY,1338. loan,3644,TRAGEDY
1339. withstand,4456,TRAGEDY,1339. metaphor,4663,COMEDY
1340. one,820,COMEDY,1340. partners,1678,COMEDY
1341. projects,393,COMEDY,1341. overwhelmed,3600,TRAGEDY
1342. milestones,4798,COMEDY,1342. added,1008,COMEDY
1343. d,1562,COMEDY,1343. supplements,3425,COMEDY
1344. requirement,4482,TRAGEDY,1344. remained,2129,TRAGEDY
1345. browse,4527,COMEDY,1345. rotation,4114,COMEDY
1346. thread,3906,COMEDY,1346. oven,2270,COMEDY
1347. supported,1991,COMEDY,1347. guides,2919,COMEDY
1348. forms,563,TRAGEDY,1348. door,989,COMEDY
1349. juicy,2744,COMEDY,1349. Trust,4187,COMEDY
1350. Post,4659,COMEDY,1350. vegetation,4561,COMEDY
1351. claims,2142,TRAGEDY,1351. rate,572,COMEDY
1352. users,159,COMEDY,1352. detection,2304,TRAGEDY
1353. seeing,1741,COMEDY,1353. perceived,4258,COMEDY
1354. facing,1228,TRAGEDY,1354. blue,1708,TRAGEDY
1355. bell,3169,COMEDY,1355. analyze,909,COMEDY
1356. estate,2648,TRAGEDY,1356. CSS,2562,COMEDY
1357. vector,2663,COMEDY,1357. recognized,1701,COMEDY
1358. snippet,4283,COMEDY,1358. argument,1580,COMEDY
1359. algorithms,1005,COMEDY,1359. addresses,2459,COMEDY
1360. canvas,2954,TRAGEDY,1360. toes,4376,COMEDY
1361. Change,2781,COMEDY,1361. investing,1181,TRAGEDY
1362. importance,266,TRAGEDY,1362. Sure,4790,COMEDY
1363. bars,2812,COMEDY,1363. adapted,2485,COMEDY
1364. Ask,2933,COMEDY,1364. posture,3761,COMEDY
1365. join,1519,COMEDY,1365. crowd,2000,TRAGEDY
1366. performance,168,COMEDY,1366. FADE,2543,TRAGEDY
1367. syrup,4591,COMEDY,1367. paid,1927,COMEDY
1368. V,4218,COMEDY,1368. thread,3906,TRAGEDY
1369. potential,813,COMEDY,1369. meditation,609,TRAGEDY
1370. question,422,COMEDY,1370. varies,3745,COMEDY
1371. filter,1837,COMEDY,1371. places,890,COMEDY
1372. referring,3825,COMEDY,1372. family,137,TRAGEDY
1373. discovery,2102,COMEDY,1373. series,500,COMEDY
1374. password,1553,COMEDY,1374. tests,1894,TRAGEDY
1375. beans,1638,COMEDY,1375. None,2127,TRAGEDY
1376. niche,3150,COMEDY,1376. realizing,4493,TRAGEDY
1377. monitor,1060,TRAGEDY,1377. concern,1348,TRAGEDY
1378. imagine,2336,COMEDY,1378. Salt,4348,COMEDY
1379. girl,661,TRAGEDY,1379. child,546,TRAGEDY
1380. December,3456,TRAGEDY,1380. lineup,4755,COMEDY
1381. scent,2374,COMEDY,1381. trauma,2211,TRAGEDY
1382. vehicle,1942,COMEDY,1382. grocery,4235,COMEDY
1383. mitigating,3651,TRAGEDY,1383. Key,3549,COMEDY
1384. END,4373,TRAGEDY,1384. problems,592,COMEDY
1385. fell,2820,TRAGEDY,1385. robots,3089,COMEDY
1386. collections,4290,COMEDY,1386. method,405,TRAGEDY
1387. vintage,2530,COMEDY,1387. appealing,1690,COMEDY
1388. protected,2534,COMEDY,1388. apply,1085,COMEDY
1389. capital,2042,TRAGEDY,1389. forms,563,TRAGEDY
1390. woman,305,COMEDY,1390. comforting,4828,COMEDY
1391. tone,769,COMEDY,1391. processes,619,TRAGEDY
1392. standard,2665,COMEDY,1392. customers,219,COMEDY
1393. California,2236,COMEDY,1393. soup,2119,COMEDY
1394. Zealand,4925,COMEDY,1394. times,303,TRAGEDY
1395. Cut,2221,TRAGEDY,1395. races,4416,COMEDY
1396. itself,843,TRAGEDY,1396. expected,938,COMEDY
1397. demonstrated,3313,COMEDY,1397. symbolism,3238,TRAGEDY
1398. fishing,1516,COMEDY,1398. oppression,4226,TRAGEDY
1399. scenes,2084,COMEDY,1399. backdrop,3780,TRAGEDY
1400. waiting,1579,TRAGEDY,1400. speech,1308,COMEDY
1401. selection,1440,COMEDY,1401. applied,1782,TRAGEDY
1402. Reduced,4836,TRAGEDY,1402. looking,319,COMEDY
1403. judgment,2996,TRAGEDY,1403. transit,4767,COMEDY
1404. relevance,3769,COMEDY,1404. Take,783,COMEDY
1405. deal,1326,COMEDY,1405. determine,632,TRAGEDY
1406. spent,1612,TRAGEDY,1406. err,4307,COMEDY
1407. bed,1363,COMEDY,1407. query,1943,COMEDY
1408. negotiations,4363,TRAGEDY,1408. happen,1675,COMEDY
1409. spells,4066,COMEDY,1409. assume,4953,COMEDY
1410. containing,2991,COMEDY,1410. aircraft,3508,TRAGEDY
1411. descriptions,1738,COMEDY,1411. road,1549,COMEDY
1412. Los,4030,COMEDY,1412. divided,3869,TRAGEDY
1413. filtering,3778,COMEDY,1413. losing,2671,TRAGEDY
1414. losses,2845,TRAGEDY,1414. function,108,COMEDY
1415. hanging,3689,TRAGEDY,1415. tranquility,4004,COMEDY
1416. monster,4419,TRAGEDY,1416. taught,2319,COMEDY
1417. analyzing,1649,COMEDY,1417. enhances,3370,COMEDY
1418. missed,4135,TRAGEDY,1418. Ben,4751,COMEDY
1419. seeking,855,COMEDY,1419. observe,4010,COMEDY
1420. Christian,4461,TRAGEDY,1420. orders,2688,COMEDY
1421. parks,2412,COMEDY,1421. expressions,2292,COMEDY
1422. skills,101,COMEDY,1422. case,279,TRAGEDY
1423. hotels,3286,COMEDY,1423. block,1337,COMEDY
1424. experiment,1533,COMEDY,1424. Children,3262,COMEDY
1425. letters,2417,COMEDY,1425. cooking,912,COMEDY
1426. guarantee,4669,COMEDY,1426. ends,2043,TRAGEDY
1427. mindset,2458,COMEDY,1427. guy,3192,COMEDY
1428. product,213,COMEDY,1428. Sakura,3133,COMEDY
1429. cards,2194,COMEDY,1429. incidents,3158,TRAGEDY
1430. teaching,1552,COMEDY,1430. My,2725,COMEDY
1431. gained,1923,COMEDY,1431. articles,1364,COMEDY
1432. consumed,3036,TRAGEDY,1432. stick,2464,COMEDY
1433. accessories,2916,COMEDY,1433. resist,2691,TRAGEDY
1434. adult,2818,TRAGEDY,1434. coverage,1786,TRAGEDY
1435. tied,3729,TRAGEDY,1435. feedback,326,COMEDY
1436. world,36,TRAGEDY,1436. discourse,4532,COMEDY
1437. defense,2251,TRAGEDY,1437. attractions,2313,COMEDY
1438. Action,4089,COMEDY,1438. moon,2985,COMEDY
1439. failed,3167,TRAGEDY,1439. rolling,3641,COMEDY
1440. drama,3174,TRAGEDY,1440. maintaining,668,COMEDY
1441. stigma,3505,TRAGEDY,1441. affects,1475,TRAGEDY
1442. diving,4692,COMEDY,1442. Institute,2769,COMEDY
1443. survey,2386,COMEDY,1443. Thai,4810,COMEDY
1444. color,248,COMEDY,1444. releases,3884,COMEDY
1445. Run,4740,COMEDY,1445. emphasized,4034,TRAGEDY
1446. fascinating,1881,COMEDY,1446. therapy,503,COMEDY
1447. Ca,4234,COMEDY,1447. pressure,640,TRAGEDY
1448. aims,1200,COMEDY,1448. delivering,2860,COMEDY
1449. passage,1084,TRAGEDY,1449. curse,3943,TRAGEDY
1450. Ethan,4042,COMEDY,1450. Shaggy,3686,COMEDY
1451. suggestions,497,COMEDY,1451. Turn,4931,COMEDY
1452. designed,339,COMEDY,1452. environments,1264,COMEDY
1453. Read,2521,COMEDY,1453. measured,4746,TRAGEDY
1454. trained,2124,COMEDY,1454. didn,4487,COMEDY
1455. George,3494,COMEDY,1455. released,1729,COMEDY
1456. divide,4558,TRAGEDY,1456. car,638,COMEDY
1457. overcoming,3760,COMEDY,1457. pace,2513,COMEDY
1458. tours,1685,COMEDY,1458. buildings,1106,TRAGEDY
1459. sand,3279,COMEDY,1459. completing,3408,COMEDY
1460. comment,2191,COMEDY,1460. opinions,490,COMEDY
1461. dinner,2489,COMEDY,1461. seasoning,4559,COMEDY
1462. pleasure,1057,COMEDY,1462. harassment,3308,TRAGEDY
1463. drivers,3035,COMEDY,1463. periods,1821,TRAGEDY
1464. writer,2064,COMEDY,1464. conducted,1434,TRAGEDY
1465. sight,1862,COMEDY,1465. stress,340,TRAGEDY
1466. orders,2688,TRAGEDY,1466. button,1174,COMEDY
1467. Organization,4052,TRAGEDY,1467. instances,2531,TRAGEDY
1468. weapon,3898,TRAGEDY,1468. highlights,1442,COMEDY
1469. advantages,1846,COMEDY,1469. expressed,3497,TRAGEDY
1470. Business,1969,TRAGEDY,1470. incorporating,848,COMEDY
1471. drive,1156,COMEDY,1471. str,4369,NEUTRAL
1472. units,2154,TRAGEDY,1472. Mike,4257,COMEDY
1473. injuries,2076,TRAGEDY,1473. refused,4078,TRAGEDY
1474. Experiment,4300,COMEDY,1474. station,2782,NEUTRAL
1475. groups,280,COMEDY,1475. repeat,3236,COMEDY
1476. coping,2719,TRAGEDY,1476. phrases,2643,NEUTRAL
1477. struck,4760,TRAGEDY,1477. instrument,3562,NEUTRAL
1478. comparing,4156,COMEDY,1478. importance,266,TRAGEDY
1479. invest,1764,COMEDY,1479. immigration,3044,TRAGEDY
1480. soup,2119,COMEDY,1480. presented,1790,NEUTRAL
1481. addressed,2184,TRAGEDY,1481. explained,4051,NEUTRAL
1482. running,721,COMEDY,1482. add,75,NEUTRAL
1483. uncover,4272,TRAGEDY,1483. architecture,930,NEUTRAL
1484. sleep,952,COMEDY,1484. love,176,COMEDY
1485. power,72,TRAGEDY,1485. proteins,4074,NEUTRAL
1486. B,819,COMEDY,1486. Reduced,4836,TRAGEDY
1487. head,429,COMEDY,1487. Leonardo,3855,NEUTRAL
1488. get,85,COMEDY,1488. entities,3198,NEUTRAL
1489. collection,902,COMEDY,1489. produced,1586,NEUTRAL
1490. stories,486,COMEDY,1490. introducing,3452,NEUTRAL
1491. beliefs,377,TRAGEDY,1491. convey,1528,NEUTRAL
1492. LED,4702,COMEDY,1492. Y,4171,NEUTRAL
1493. got,553,COMEDY,1493. seafood,2029,COMEDY
1494. tap,4908,COMEDY,1494. Follow,2708,COMEDY
1495. explicit,4843,TRAGEDY,1495. ceremony,3794,TRAGEDY
1496. preparation,2750,COMEDY,1496. prevent,296,TRAGEDY
1497. workers,705,TRAGEDY,1497. Come,3861,COMEDY
1498. armor,4542,TRAGEDY,1498. arise,2678,TRAGEDY
1499. Target,4687,COMEDY,1499. positions,1640,NEUTRAL
1500. charging,3344,COMEDY,1500. rose,3834,TRAGEDY
1501. development,65,COMEDY,1501. it,4,COMEDY
1502. Great,1091,COMEDY,1502. intelligence,837,COMEDY
1503. metaphor,4663,TRAGEDY,1503. Environmental,4791,TRAGEDY
1504. thing,685,COMEDY,1504. Rock,4429,COMEDY
1505. learners,2870,COMEDY,1505. checking,1939,COMEDY
1506. versions,2879,COMEDY,1506. arrived,2977,COMEDY
1507. pursuing,3373,TRAGEDY,1507. campus,3366,COMEDY
1508. User,1838,COMEDY,1508. muscles,1899,COMEDY
1509. sound,376,COMEDY,1509. sample,2063,COMEDY
1510. symbolism,3238,TRAGEDY,1510. Check,972,COMEDY
1511. scores,3312,TRAGEDY,1511. Did,2253,COMEDY
1512. interface,1223,COMEDY,1512. Team,2770,COMEDY
1513. surprised,3936,COMEDY,1513. favor,4073,COMEDY
1514. convert,2771,COMEDY,1514. bottle,2886,TRAGEDY
1515. return,200,TRAGEDY,1515. Episode,4897,COMEDY
1516. deeper,4526,TRAGEDY,1516. sister,2174,COMEDY
1517. trip,1239,COMEDY,1517. Nations,3445,TRAGEDY
1518. Call,4909,TRAGEDY,1518. battery,2297,TRAGEDY
1519. warm,3466,COMEDY,1519. transmission,4012,TRAGEDY
1520. meditation,609,TRAGEDY,1520. tab,4990,COMEDY
1521. innovation,791,COMEDY,1521. Army,4172,TRAGEDY
1522. men,1081,COMEDY,1522. solace,3809,TRAGEDY
1523. Making,4392,COMEDY,1523. demeanor,4330,COMEDY
1524. restore,2873,TRAGEDY,1524. Council,2876,TRAGEDY
1525. bill,3987,TRAGEDY,1525. tutorials,3441,COMEDY
1526. puzzle,4408,COMEDY,1526. marketing,206,COMEDY
1527. requests,1699,COMEDY,1527. structure,403,TRAGEDY
1528. consequences,526,TRAGEDY,1528. reference,1951,COMEDY
1529. songs,1368,COMEDY,1529. speeds,4647,COMEDY
1530. reinforce,3868,TRAGEDY,1530. miss,3595,TRAGEDY
1531. obstacles,1464,COMEDY,1531. judge,4750,COMEDY
1532. disputes,4705,COMEDY,1532. minimizing,3070,COMEDY
1533. contact,703,COMEDY,1533. enthusiasm,3999,COMEDY
1534. founded,4380,COMEDY,1534. trying,388,COMEDY
1535. stocks,4602,TRAGEDY,1535. committed,1387,TRAGEDY
1536. franchise,3923,COMEDY,1536. spicy,3170,COMEDY
1537. spices,1924,COMEDY,1537. providers,1283,COMEDY
1538. walk,1561,COMEDY,1538. feet,731,COMEDY
1539. debris,3572,TRAGEDY,1539. sheet,2571,COMEDY
1540. dried,4455,COMEDY,1540. heroes,3361,TRAGEDY
1541. Example,2495,COMEDY,1541. tapestry,4128,TRAGEDY
1542. grew,1575,COMEDY,1542. Host,4100,COMEDY
1543. startups,4312,COMEDY,1543. encourage,573,COMEDY
1544. instrument,3562,COMEDY,1544. hair,480,COMEDY
1545. delay,3646,COMEDY,1545. acts,2037,TRAGEDY
1546. gains,4183,COMEDY,1546. Chinese,4242,COMEDY
1547. fluid,4656,COMEDY,1547. fabrics,3973,COMEDY
1548. GPT,3642,COMEDY,1548. control,161,TRAGEDY
1549. open,2015,COMEDY,1549. tablespoon,3210,COMEDY
1550. addressing,867,COMEDY,1550. brands,886,COMEDY
1551. energy,43,COMEDY,1551. began,489,TRAGEDY
1552. illnesses,4007,TRAGEDY,1552. building,261,TRAGEDY
1553. s,28,COMEDY,1553. equation,2894,TRAGEDY
1554. career,650,TRAGEDY,1554. quantity,3788,COMEDY
1555. Today,1913,COMEDY,1555. friendship,1995,COMEDY
1556. spoke,3029,COMEDY,1556. department,2180,COMEDY
1557. PAGE,4413,COMEDY,1557. browser,3328,COMEDY
1558. treats,4972,COMEDY,1558. Road,3837,TRAGEDY
1559. moves,1874,COMEDY,1559. program,114,COMEDY
1560. catch,1520,COMEDY,1560. minute,3173,COMEDY
1561. refused,4078,TRAGEDY,1561. murder,4715,TRAGEDY
1562. considering,1270,COMEDY,1562. passage,1084,COMEDY
1563. currency,4147,COMEDY,1563. wellness,2599,COMEDY
1564. food,87,COMEDY,1564. insects,3432,COMEDY
1565. fit,1116,COMEDY,1565. compete,3409,COMEDY
1566. pose,3043,COMEDY,1566. targeting,2733,TRAGEDY
1567. validation,3028,TRAGEDY,1567. print,565,COMEDY
1568. logic,2315,COMEDY,1568. painted,4860,COMEDY
1569. home,185,TRAGEDY,1569. option,475,COMEDY
1570. applications,642,COMEDY,1570. visit,722,COMEDY
1571. soil,582,TRAGEDY,1571. views,823,COMEDY
1572. L,3874,COMEDY,1572. she,20,COMEDY
1573. Monika,720,COMEDY,1573. suggest,577,COMEDY
1574. lens,1068,COMEDY,1574. baking,1930,COMEDY
1575. appealing,1690,COMEDY,1575. measure,1248,COMEDY
1576. shock,2920,TRAGEDY,1576. earn,3620,COMEDY
1577. decades,2792,TRAGEDY,1577. grinning,4857,COMEDY
1578. roads,4032,COMEDY,1578. Year,3768,COMEDY
1579. noodles,4974,COMEDY,1579. Conclusion,1220,TRAGEDY
1580. creators,3927,COMEDY,1580. refreshing,3835,COMEDY
1581. limiting,3599,TRAGEDY,1581. ginger,4387,COMEDY
1582. illustrations,4793,COMEDY,1582. staying,1523,COMEDY
1583. rising,2367,TRAGEDY,1583. arts,1571,COMEDY
1584. League,2734,COMEDY,1584. Mark,2089,COMEDY
1585. drawn,2587,TRAGEDY,1585. Changes,4520,COMEDY
1586. surveillance,3684,TRAGEDY,1586. front,1215,COMEDY
1587. directed,3934,COMEDY,1587. football,2631,COMEDY
1588. was,6,TRAGEDY,1588. Formatting,4958,COMEDY
1589. acts,2037,COMEDY,1589. journalists,4722,TRAGEDY
1590. kind,545,COMEDY,1590. Welcome,4304,COMEDY
1591. smiled,4468,COMEDY,1591. club,684,COMEDY
1592. communications,4610,COMEDY,1592. walking,1261,COMEDY
1593. arguments,1886,TRAGEDY,1593. habits,1560,COMEDY
1594. tourists,2642,COMEDY,1594. exchange,1079,COMEDY
1595. debt,3045,TRAGEDY,1595. die,3695,TRAGEDY
1596. August,3712,COMEDY,1596. portrayed,3905,TRAGEDY
1597. breathe,4563,TRAGEDY,1597. shares,2614,COMEDY
1598. affection,4529,COMEDY,1598. drops,4162,COMEDY
1599. perception,2290,TRAGEDY,1599. nodded,3843,COMEDY
1600. outfit,3135,COMEDY,1600. Bring,4033,COMEDY
1601. inside,4966,TRAGEDY,1601. identity,461,TRAGEDY
1602. Aaron,3080,COMEDY,1602. oxygen,3200,TRAGEDY
1603. commentary,4577,COMEDY,1603. outline,2702,COMEDY
1604. presenting,4110,COMEDY,1604. Action,4089,COMEDY
1605. styles,620,COMEDY,1605. alter,4600,COMEDY
1606. closed,2650,TRAGEDY,1606. engage,487,COMEDY
1607. vulnerabilities,3261,TRAGEDY,1607. criticized,4238,TRAGEDY
1608. Always,2415,COMEDY,1608. depend,1558,TRAGEDY
1609. sale,3554,COMEDY,1609. association,4134,COMEDY
1610. behavior,323,TRAGEDY,1610. instruction,2062,COMEDY
1611. td,3960,COMEDY,1611. cock,2943,COMEDY
1612. total,4915,TRAGEDY,1612. emerged,1751,TRAGEDY
1613. difference,715,TRAGEDY,1613. defend,4580,TRAGEDY
1614. gets,1584,COMEDY,1614. decision,699,TRAGEDY
1615. fighting,1869,TRAGEDY,1615. impression,4188,COMEDY
1616. care,214,COMEDY,1616. depths,2979,TRAGEDY
1617. produces,3381,COMEDY,1617. involvement,2135,TRAGEDY
1618. planning,663,COMEDY,1618. resolved,4758,COMEDY
1619. stretches,4802,COMEDY,1619. establish,976,COMEDY
1620. M,3082,COMEDY,1620. noticed,1872,COMEDY
1621. hues,4815,COMEDY,1621. Narrator,2960,COMEDY
1622. tests,1894,TRAGEDY,1622. commitment,799,TRAGEDY
1623. thrilling,4601,COMEDY,1623. finding,641,COMEDY
1624. test,522,TRAGEDY,1624. Paul,3623,COMEDY
1625. Z,4636,COMEDY,1625. gestures,4726,COMEDY
1626. times,303,TRAGEDY,1626. Intelligence,4309,COMEDY
1627. interview,2308,COMEDY,1627. server,1142,COMEDY
1628. metal,1973,TRAGEDY,1628. snacks,2268,COMEDY
1629. tag,3635,COMEDY,1629. requirements,505,TRAGEDY
1630. banks,3397,TRAGEDY,1630. NOT,2961,COMEDY
1631. hair,480,COMEDY,1631. factor,1504,TRAGEDY
1632. policymakers,2320,TRAGEDY,1632. populations,1101,TRAGEDY
1633. frustrating,3477,TRAGEDY,1633. warnings,4352,TRAGEDY
1634. chocolate,1814,COMEDY,1634. decline,1809,TRAGEDY
1635. hint,2416,COMEDY,1635. storytelling,1476,COMEDY
1636. miss,3595,TRAGEDY,1636. bear,3677,COMEDY
1637. star,2271,COMEDY,1637. branch,3653,COMEDY
1638. House,1405,COMEDY,1638. flight,2806,COMEDY
1639. roasted,4388,COMEDY,1639. her,79,COMEDY
1640. plant,978,COMEDY,1640. responded,4437,COMEDY
1641. contributed,1286,COMEDY,1641. calories,3403,COMEDY
1642. inhabitants,4941,TRAGEDY,1642. V,4218,TRAGEDY
1643. artwork,1450,COMEDY,1643. controls,2772,TRAGEDY
1644. researchers,1367,TRAGEDY,1644. publication,4967,COMEDY
1645. templates,4115,COMEDY,1645. scent,2374,COMEDY
1646. length,1014,TRAGEDY,1646. matching,4773,COMEDY
1647. privacy,892,TRAGEDY,1647. plant,978,COMEDY
1648. reasoning,2836,COMEDY,1648. told,1673,COMEDY
1649. linked,2241,COMEDY,1649. based,83,COMEDY
1650. pressure,640,TRAGEDY,1650. transfer,1820,COMEDY
1651. remember,589,COMEDY,1651. enjoyed,2830,COMEDY
1652. tomato,3980,COMEDY,1652. built,1287,COMEDY
1653. talent,1759,COMEDY,1653. bullet,4445,TRAGEDY
1654. Catholic,4488,TRAGEDY,1654. Could,695,COMEDY
1655. Chris,4884,COMEDY,1655. Israel,4168,TRAGEDY
1656. state,289,TRAGEDY,1656. recommend,760,COMEDY
1657. Well,2846,COMEDY,1657. ambiance,4777,COMEDY
1658. calendar,3818,COMEDY,1658. stream,2882,COMEDY
1659. instability,3470,TRAGEDY,1659. Trade,4795,TRAGEDY
1660. translate,4137,COMEDY,1660. flour,2436,COMEDY
1661. backdrop,3780,TRAGEDY,1661. female,3903,COMEDY
1662. notice,2475,COMEDY,1662. relying,3302,TRAGEDY
1663. promoting,271,COMEDY,1663. birth,2210,COMEDY
1664. limits,1696,TRAGEDY,1664. carrying,2816,TRAGEDY
1665. void,1906,TRAGEDY,1665. smoke,2636,TRAGEDY
1666. Game,2951,COMEDY,1666. regarding,898,COMEDY
1667. click,2257,COMEDY,1667. campaigns,656,TRAGEDY
1668. controlling,3893,TRAGEDY,1668. hiking,1634,COMEDY
1669. regime,4607,TRAGEDY,1669. receiving,2541,COMEDY
1670. rotation,4114,COMEDY,1670. adversity,4145,TRAGEDY
1671. display,674,COMEDY,1671. read,662,COMEDY
1672. horror,2591,TRAGEDY,1672. energy,43,COMEDY
1673. curve,4426,COMEDY,1673. Valley,3658,TRAGEDY
1674. documents,1839,TRAGEDY,1674. boundaries,814,TRAGEDY
1675. Being,3041,TRAGEDY,1675. Island,3137,COMEDY
1676. Cloud,3772,COMEDY,1676. improvement,1206,COMEDY
1677. loans,3982,TRAGEDY,1677. internet,1278,COMEDY
1678. struggled,2414,TRAGEDY,1678. tension,1149,TRAGEDY
1679. life,40,TRAGEDY,1679. timeline,2479,TRAGEDY
1680. owner,2707,COMEDY,1680. August,3712,COMEDY
1681. extent,2723,TRAGEDY,1681. Pay,4421,COMEDY
1682. pitch,3938,COMEDY,1682. Governments,2333,TRAGEDY
1683. classification,4381,TRAGEDY,1683. tasks,440,COMEDY
1684. cover,964,COMEDY,1684. Do,442,COMEDY
1685. lets,4155,COMEDY,1685. nodes,3749,COMEDY
1686. relationships,273,TRAGEDY,1686. incorporate,1012,COMEDY
1687. emergency,1527,TRAGEDY,1687. farming,1451,COMEDY
1688. decides,3839,TRAGEDY,1688. args,2852,COMEDY
1689. respected,4103,TRAGEDY,1689. invested,3110,TRAGEDY
1690. attract,1350,COMEDY,1690. Tips,3813,COMEDY
1691. demeanor,4330,TRAGEDY,1691. attending,2325,COMEDY
1692. making,59,COMEDY,1692. adding,618,COMEDY
